CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
174111428,09/26/2016,09:40:00,09/26/2016,09:50:00,09/26/2016,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,BRONX,43,INSIDE,PUBLIC SCHOOL,,,1016974,238454,40.821124393,-73.881769047,"(40.821124393, -73.881769047)"
181806296,09/26/2016,09:30:00,,,09/26/2016,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,MANHATTAN,17,INSIDE,RESIDENCE - APT. HOUSE,,,990247,210096,40.74334778,-73.978359479,"(40.74334778, -73.978359479)"
763232873,09/26/2016,09:30:00,,,09/26/2016,107,BURGLARY,221,"BURGLARY,RESIDENCE,DAY",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,75,FRONT OF,RESIDENCE - APT. HOUSE,,,1016688,188158,40.68307579,-73.883044987,"(40.68307579, -73.883044987)"
899735277,09/26/2016,09:30:00,09/26/2016,10:00:00,09/26/2016,109,GRAND LARCENY,424,"LARCENY,GRAND BY CREDIT CARD ACCT COMPROMISE-EXISTING ACCT",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,115,INSIDE,RESIDENCE-HOUSE,,,1016312,214279,40.75477297,-73.884276251,"(40.75477297, -73.884276251)"
400863608,09/26/2016,09:30:00,09/26/2016,09:30:00,09/26/2016,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,1,INSIDE,COMMERCIAL BUILDING,,,982109,203369,40.724885591,-74.007725746,"(40.724885591, -74.007725746)"
814798365,09/26/2016,09:30:00,09/26/2016,10:00:00,09/26/2016,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. HOUSING POLICE,BRONX,42,INSIDE,RESIDENCE - PUBLIC HOUSING,,,1011486,244484,40.837693635,-73.901572794,"(40.837693635, -73.901572794)"
349585929,09/26/2016,09:26:00,09/26/2016,09:45:00,09/26/2016,109,GRAND LARCENY,438,"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,84,INSIDE,PUBLIC BUILDING,,,987282,191232,40.691572132,-73.989068062,"(40.691572132, -73.989068062)"
657170681,09/26/2016,09:24:00,,,09/26/2016,105,ROBBERY,396,"ROBBERY,BEGIN AS SHOPLIFTING",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,1,FRONT OF,RESTAURANT/DINER,,,983315,202629,40.722854679,-74.003374637,"(40.722854679, -74.003374637)"
401977893,09/26/2016,09:20:00,,,09/26/2016,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,QUEENS,112,,STREET,,,1022399,205315,40.730144884,-73.862356587,"(40.730144884, -73.862356587)"
367876244,09/26/2016,09:19:00,09/26/2016,09:22:00,09/26/2016,109,GRAND LARCENY,439,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,33,,PARK/PLAYGROUND,FORT WASHINGTON PARK,,999572,245693,40.841040695,-73.944626231,"(40.841040695, -73.944626231)"
361572751,09/26/2016,09:18:00,09/26/2016,09:19:00,09/26/2016,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,BROOKLYN,67,FRONT OF,OTHER,,,999288,176797,40.651939037,-73.945806672,"(40.651939037, -73.945806672)"
801614911,09/26/2016,09:15:00,09/26/2016,09:20:00,09/26/2016,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,103,,STREET,,,1036000,194803,40.701222904,-73.813363952,"(40.701222904, -73.813363952)"
669209408,09/26/2016,09:15:00,09/26/2016,09:30:00,09/26/2016,126,MISCELLANEOUS PENAL LAW,198,CRIMINAL CONTEMPT 1,COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,102,INSIDE,RESIDENCE-HOUSE,,,1029151,190866,40.690454172,-73.838091202,"(40.690454172, -73.838091202)"
658532254,09/26/2016,09:15:00,09/26/2016,09:25:00,09/26/2016,341,PETIT LARCENY,339,"LARCENY,PETIT FROM OPEN AREAS,",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,34,,PARK/PLAYGROUND,,,1001452,249737,40.852136822,-73.937821352,"(40.852136822, -73.937821352)"
145650284,09/26/2016,09:10:00,09/26/2016,09:11:00,09/26/2016,341,PETIT LARCENY,338,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,5,INSIDE,PUBLIC BUILDING,,,983537,199906,40.715380718,-74.002573441,"(40.715380718, -74.002573441)"
212224490,09/26/2016,09:02:00,09/26/2016,09:12:00,09/26/2016,109,GRAND LARCENY,404,"LARCENY,GRAND FROM PERSON,PERSONAL ELECTRONIC DEVICE(SNATCH)",ATTEMPTED,FELONY,N.Y. POLICE DEPT,BROOKLYN,79,FRONT OF,STREET,,,999849,193276,40.697169212,-73.943746775,"(40.697169212, -73.943746775)"
284361108,09/26/2016,09:00:00,09/26/2016,09:11:00,09/26/2016,359,OFFENSES AGAINST PUBLIC ADMINI,750,RESISTING ARREST,COMPLETED,MISDEMEANOR,N.Y. TRANSIT POLICE,BROOKLYN,62,,TRANSIT - NYC SUBWAY,,,984518,164775,40.618953959,-73.999036085,"(40.618953959, -73.999036085)"
566652827,09/26/2016,09:00:00,09/26/2016,09:20:00,09/26/2016,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,103,FRONT OF,STREET,,,1041054,197665,40.709047402,-73.795112514,"(40.709047402, -73.795112514)"
777378863,09/26/2016,09:00:00,09/26/2016,14:00:00,09/26/2016,107,BURGLARY,221,"BURGLARY,RESIDENCE,DAY",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,83,INSIDE,RESIDENCE - APT. HOUSE,,,1005667,194794,40.7013236,-73.922760504,"(40.7013236, -73.922760504)"
171515883,09/26/2016,09:00:00,09/26/2016,14:30:00,09/26/2016,126,MISCELLANEOUS PENAL LAW,691,BIGAMY,COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,84,INSIDE,COMMERCIAL BUILDING,,,987788,191924,40.693471325,-73.987243065,"(40.693471325, -73.987243065)"
308520891,09/26/2016,09:00:00,09/26/2016,09:10:00,09/26/2016,341,PETIT LARCENY,338,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,41,INSIDE,RESIDENCE - APT. HOUSE,,,1011843,236395,40.815490537,-73.900315892,"(40.815490537, -73.900315892)"
878874703,09/26/2016,09:00:00,,,09/26/2016,578,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,N.Y. POLICE DEPT,BRONX,43,FRONT OF,STREET,,,1016999,240600,40.827014458,-73.881668248,"(40.827014458, -73.881668248)"
312454553,09/26/2016,08:50:00,,,09/26/2016,341,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,43,INSIDE,DRUG STORE,,,1019853,241853,40.830442538,-73.871349147,"(40.830442538, -73.871349147)"
349086706,09/26/2016,08:50:00,09/26/2016,08:55:00,09/26/2016,233,SEX CRIMES,175,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,N.Y. TRANSIT POLICE,QUEENS,108,,TRANSIT - NYC SUBWAY,,,,,,,
357477280,09/26/2016,08:45:00,09/26/2016,08:50:00,09/26/2016,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,42,,STREET,,,1011486,244484,40.837693635,-73.901572794,"(40.837693635, -73.901572794)"
849583923,09/26/2016,08:45:00,09/26/2016,09:00:00,09/26/2016,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,QUEENS,103,FRONT OF,PUBLIC SCHOOL,,,1052184,197341,40.708079649,-73.754970672,"(40.708079649, -73.754970672)"
285261039,09/26/2016,08:40:00,09/26/2016,08:49:00,09/26/2016,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,BROOKLYN,90,FRONT OF,STREET,,,997990,195444,40.703122947,-73.950446461,"(40.703122947, -73.950446461)"
851299554,09/26/2016,08:40:00,,,09/26/2016,118,DANGEROUS WEAPONS,793,WEAPONS POSSESSION 3,COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,100,,STREET,,,1037990,154242,40.589880116,-73.806510113,"(40.589880116, -73.806510113)"
304695949,09/26/2016,08:40:00,,,09/26/2016,105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,113,,STREET,,,1041221,189310,40.686113857,-73.794580826,"(40.686113857, -73.794580826)"
273096355,09/26/2016,08:40:00,09/26/2016,08:55:00,09/26/2016,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,78,INSIDE,STORAGE FACILITY,,,987687,186577,40.67879507,-73.987610008,"(40.67879507, -73.987610008)"
181719984,09/26/2016,08:40:00,09/26/2016,08:55:00,09/26/2016,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,78,INSIDE,STORAGE FACILITY,,,987687,186577,40.67879507,-73.987610008,"(40.67879507, -73.987610008)"
599393121,09/26/2016,08:38:00,09/26/2016,14:56:00,09/26/2016,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,13,INSIDE,COMMERCIAL BUILDING,,,986314,209007,40.740360538,-73.99255322,"(40.740360538, -73.99255322)"
994955448,09/26/2016,08:35:00,09/26/2016,08:47:00,09/26/2016,121,CRIMINAL MISCHIEF & RELATED OF,267,"MISCHIEF, CRIMINAL 3 & 2, OF M",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,69,FRONT OF,STREET,,,1008500,171443,40.637223031,-73.912627224,"(40.637223031, -73.912627224)"
237430845,09/26/2016,08:30:00,09/26/2016,08:50:00,09/26/2016,341,PETIT LARCENY,321,"LARCENY,PETIT FROM AUTO",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,50,,STREET,,,1010901,259345,40.878484393,-73.903627848,"(40.878484393, -73.903627848)"
746376877,09/26/2016,08:30:00,09/26/2016,08:40:00,09/26/2016,351,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,68,,STREET,,,975380,163271,40.614821354,-74.031949858,"(40.614821354, -74.031949858)"
